C,SF,S,QP,W,SP,F,WB,T,CT,SPB,FT,FL,FD,ST,A,CS
1009.0,0.0,1456.8,0.0,201.8,34.2,0.0,0.2,23,1,1,0,0.0,0.0,1,90,159.6
800.0,200.0,1080.0,0.0,200.0,14.4,0.0,0.2,20,1,1,0,0.0,0.0,1,28,159.2
788.0,197.0,866.8,315.0,173.0,14.77,15.76,0.18,23,1,1,6,6.0,0.16,1,21,159.2
850.0,212.5,935.0,255.0,212.5,21.2,25.5,0.2,23,1,1,6,12.0,0.2,1,28,159.1
922.0,230.0,1152.0,0.0,184.0,11.52,1.844,0.16,23,1,1,4,12.0,0.018,1,28,158.9
853.0,170.6,1023.6,255.9,196.19,29.86,0.0,0.19,23,1,1,0,0.0,0.0,1,28,158.9
998.8,176.25,962.9,0.0,164.5,52.9,14.982,0.14,23,1,1,5,13.0,0.018,1,14,158.7
998.8,176.25,946.8,0.0,164.5,54.1,19.976,0.14,23,1,1,5,13.0,0.018,1,14,158.4
1076.77,286.23,1090.8,0.0,272.6,46.2,32.3031,0.2,23,1,1,6,12.7,0.2,1,28,158.2
998.8,176.25,900.1,0.0,164.5,62.3,29.964,0.14,23,1,1,5,13.0,0.018,1,14,158.2
998.8,176.25,930.6,0.0,164.5,55.2,24.97,0.14,23,1,1,5,13.0,0.018,1,14,158.2
960.0,240.0,740.7,0.0,234.0,45.0,19.2,0.2,23,1,1,6,6.0,0.16,1,7,157.8
960.0,240.0,793.7,0.0,234.0,45.0,0.0,0.2,23,1,1,0,0.0,0.0,1,28,157.8
998.8,176.25,991.1,0.0,141.0,77.6,4.994,0.12,23,1,1,5,13.0,0.018,1,14,157.5
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,16.0,0.2,1,7,156.8
828.0,207.0,911.0,248.0,186.4,21.0,24.84,0.18,23,1,1,6,12.0,0.2,1,7,156.8
792.0,264.0,1056.0,0.0,173.0,21.1,15.84,0.16,23,1,1,6,13.0,0.2,1,91,156.8
853.0,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,23,1,1,6,12.0,0.2,1,14,156.8
922.0,230.0,1152.0,0.0,184.0,11.52,0.0,0.16,23,1,1,0,0.0,0.0,1,28,156.8
792.0,264.0,1056.0,0.0,173.0,21.1,15.84,0.16,23,1,1,6,13.0,0.2,1,91,156.5
792.0,264.0,1056.0,0.0,173.0,21.1,15.84,0.16,23,1,1,6,13.0,0.2,1,90,156.3
960.0,240.0,720.7,0.0,234.0,57.0,117.0,0.2,23,1,1,1,13.0,0.2,1,28,156.2
960.0,240.0,793.7,0.0,234.0,45.0,0.0,0.2,23,1,1,0,0.0,0.0,1,90,156.1
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,8.0,0.2,1,7,155.8
788.0,197.0,866.8,315.0,173.0,14.77,19.7,0.18,23,1,1,6,13.0,0.16,1,7,155.8
853.0,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,23,1,1,6,16.0,0.2,1,14,155.8
874.9,43.7,1273.4,0.0,202.1,45.9,195.0,0.22,21,1,1,1,13.0,0.2,1,28,155.71
958.55,50.45,1231.0,0.0,201.8,34.2,0.0,0.2,21,1,1,0,0.0,0.0,1,90,155.2
828.0,207.0,911.0,248.0,186.4,21.0,8.28,0.18,23,1,1,4,10.0,0.44,1,28,155.2
741.0,185.0,815.0,259.0,185.0,9.0,14.82,0.2,23,1,1,6,13.0,0.2,1,28,154.9
960.0,240.0,767.2,0.0,234.0,45.0,78.0,0.2,23,1,1,1,13.0,0.2,1,28,154.8
